,tweets
277,"EVENT OCTOBER 2023 - STAY TUNED
@GITEX_GLOBAL GITEX GLOBAL
Get Bold. Rise up to the Phenomenon.
16-20 October 2023, Dubai World Trade Centre. #GITEXGLOBAL #getbold
Dubai, UAE https://t.co/qsDMtVM5rO https://t.co/WG8hxDnKqY"
278,"RT @UnitreeRobotics: We are pleased to announce that a couple of Unitree robot dogs will be at GITEX
@GITEX_GLOBAL @AIEverything1
 for live…"
279,"RT @piecex_com: PieceX in GITEX!

We would like to announce that we will be attending GITEX 2022 in Dubai to present PieceX, the first AI-P…"
280,"RT @piecex_com: 1 week left for GITEX!

Don't forget to pass by to get special promotions and discuss business with us!

#PieceX
#GITEX
#De…"
281,"RT @piecex_com: Meet Our Speakers!

From all across the world, our diverse team will be at GITEX to present PieceX! Feel free to come and d…"
282,"RT @piecex_com: 3 Days To Go!

Are you ready as we are? Looking forward to meeting all of you at the North Star!

#PieceX
#GITEX
#DevSlam
#…"
283,"RT @piecex_com: 2 Days Left!

We would like to invite you to visit our booth for special promotions, potential business, and exciting merch…"
284,"RT @piecex_com: GITEX is here!

We will be at Za'abeel Hall 6, Stand Z6-F556 tomorrow starting 10 AM. 

Our team is looking forward to meet…"
285,"RT @piecex_com: We are here!

Come visit us now at Za'abeel Hall 6, Stand: Z6-F556 and get special promotions!

#PieceX
#GITEX
#DevSlam
#UA…"
286,"RT @piecex_com: From Japan to the World!

PieceX is  presenting at GITEX UAE in the Japan Pavilion, North Star!

#PieceX
#GITEX
#DevSlam
#U…"
287,"RT @piecex_com: Our team is working hard!

Members of our PieceX team are working hard on GITEX 2022!

Come by tomorrow and let's talk busi…"
288,"RT @piecex_com: Day 2 of GITEX Global!

Got a few more surprises for you today, so don't hesitate to come by!

#PieceX
#GITEX
#DevSlam
#UAE…"
289,"RT @piecex_com: PieceX just presented at the Supernova Pitch Challenge Semi Finals!

We are proud to participate among the top AI innovatio…"
290,"RT @piecex_com: We are happy to attend the official Ministry of Economy conference!

It is our pleasure to be part of the exclusive communi…"
291,"RT @piecex_com: We made it!

We are proud to announce that we are now finalist at the supernova startup competition!!

Come and watch our p…"
292,"RT @piecex_com: A snippet of our team members working hard at GITEX!

It was a great pleasure to meet other startups and visitors and we ar…"
293,"RT @piecex_com: We would love to signify the end of our appearance at the J-Startup Hub at the Japan Pavilion in GITEX!

Thank you all for…"
294,"RT @_AhmedQuraishi: From oil to Artifical Intelligence: The #UAE opened a new pipeline this week. But instead of oil, out came fresh gradua…"
297,"From oil to Artifical Intelligence: The #UAE opened a new pipeline this week. But instead of oil, out came fresh graduates from the world's first dedicated artificial intelligence research university.

https://t.co/Fd8WFfbPdJ"
298,"""Insilico Medicine"", a clinical-stage AI-driven drug discovery company announced the opening of Insilico Medicine Generative Artificial Intelligence and #QuantumComputing Research and Development Centre in #AbuDhabi, the region's largest AI-powered research facility. #UAE"
304,"RT @ScholarshipBuc1: Mohamed bin Zayed University of Artificial Intelligence Offers Full Scholarships for Masters &amp; PhD Programs in UAE.
ht…"
305,"Check out our latest blog on the top 10 Artificial Intelligence companies in UAE. Discover the companies leading the way in AI innovation in the region.

Link: https://t.co/7QPae7euFm

#AITechnology #AIcompanies #AIappdevelopment #aiappdevelopmentcompany https://t.co/mJLe0h242c"
306,UAE Presents Blockchain and AI Initiatives Following Annual Government Meeting . The UAE has announced two initiatives pertaining to blockchain and artificial intelligence in a bid to become a leading country in the new technologies.
307,"World's first #AI #university, Mohamed bin Zayed University of Artificial Intelligence honors inaugural graduates. Master's graduates in computer vision and machine learning collect degrees in historic #UAE ceremony. https://t.co/Vn4E10FNy6"
308,Arab Health: Artificial Intelligence &amp;#x27;will take over routine check-ups&amp;#x27; https://t.co/0zMJQcN0Qc #ai #ml #dl
309,"As for me, spending on big data analytics is projected to grow 11.4 percent year-on-year to more than $4.1 billion, while artificial intelligence spending is seen to grow more than 16 percent to about $8 billion

 #UAE #digitalisation #Africa #MiddleEast #D33 https://t.co/FlGEtebOwh"
310,UAE lunar rover will test 1st artificial intelligence on the moon | Space https://t.co/zp3lh9H7py via @spacedotcom
311,"RT @dctabudhabi: MAKTABA, part of DCT Abu Dhabi, will be hosting a variety of interesting events and workshops as part of the UAE Innovatio…"
312,"MAKTABA, part of DCT Abu Dhabi, will be hosting a variety of interesting events and workshops as part of the UAE Innovation Month (UAE Innovates 2023). The programme covers a wide range of topics, including technology, science, programming, robotics, and artificial intelligence. https://t.co/1a5pVFOx4w"
313,"RT @InvestNI_IMEA: #Artificialintelligence will take over routine check-ups, @AlanKennedyTJ, founder of @PulseAi, a #northernireland compan…"
315,"""We need to hold back the global rise in temperatures to 1.5 degrees, without slowing economic growth,"" he told a graduation ceremony at the Mohamed Bin Zayed University of Artificial Intelligence. #UAE

https://t.co/ZnLHai2Ljt"
316,"#Artificialintelligence will take over routine check-ups, @AlanKennedyTJ, founder of @PulseAi, a #northernireland company, speaks to @TheNationalNews

To read the full article:
https://t.co/xtK1Q9iXsZ"
317,"10th International Conference on Artificial Intelligence and Applications (AIAP 2023) 
February 18 ~ 19, 2023, Dubai, UAE 
https://t.co/7ISbstvMF6
Submission Deadline : February 04, 2023(Final Call) 
Submission System URL: https://t.co/gPTbsmnKNg 
Contact Us: aiap@ccseit2023.org https://t.co/xKJde5Sfxg"
318,#UAE lunar rover will test 1st artificial intelligence on the #moon | Space https://t.co/8xetEKTafI
319,RT @TheNationalNews: Arab Health: Artificial Intelligence 'will take over routine check-ups' https://t.co/eWSTACfUc2
320,Arab Health: Artificial Intelligence 'will take over routine check-ups' https://t.co/eWSTACfUc2
321,"🛰️ UAE lunar rover will test 1st artificial intelligence on the moon with Canada
🔗https://t.co/MyRk7GyGz4
@aivancityschool #ArtificialIntelligence #AI #Innovation #Automation #tech #technologies https://t.co/0WgVnwHhRt"
322,RT @Dawnbreaker: UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/Rcs3O3prP2
323,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/Rcs3O3prP2
324,RT @SuriyaSubraman: Arab Health: Artificial Intelligence 'will take over routine check-ups' - The National: Arab Health: Artificial Intelli…
325,Arab Health: Artificial Intelligence 'will take over routine check-ups' - The National: Arab Health: Artificial Intelligence 'will take over routine check-ups'  The National https://t.co/iW8MN90uED #AI #artificialintelligence #Finperform https://t.co/GvMoRpUOnf
326,Arab Health: Artificial Intelligence 'will take over routine check-ups' - The National https://t.co/YVsoNsmPms
327,Arab Health: Artificial Intelligence 'will take over routine check-ups' https://t.co/4yluxSlgOw https://t.co/23qqyvIeiz
328,"Call for Articles..!!!
10th International Conference on Artificial Intelligence and Applications (AIAP 2023)
February 18 ~ 19, 2023, Dubai, UAE
https://t.co/1VnXe7APFL
Submission Deadline : February 08, 2023(Final Call)
Contact Us: aiap@ccseit2023.org or aiap_conf@yahoo.com https://t.co/QkC7jwwZYV"
329,"RT @andresvilarino: #UAE #lunarRover #Rashid to test #ArtificialIntelligence system on Moon for 1st time

#AI #ML #MachineLearning #DeepLea…"
330,"RT @admediaoffice: Dr Sultan Al Jaber, Minister of Industry and Advanced Technology, Omar Sultan Al Olama, UAE Minister of State for Artifi…"
331,"Dr Sultan Al Jaber, Minister of Industry and Advanced Technology, Omar Sultan Al Olama, UAE Minister of State for Artificial Intelligence, Digital Economy and Remote Work Applications, and @MBZUAI President Eric Xing, have praised the first cohort of MBZUAI graduates."
332,"The White House is launching a partnership with India that President Joe Biden hopes will help the countries compete against China on military equipment, semiconductors and artificial intelligence.
https://t.co/FlvWBMsawm https://t.co/eeUeZibfPu #UAE #Dubai #DXB"
333,"RT @WorldEchoNews: The first batch of students from Abu Dhabi graduated from the world’s first graduate research university in AI, Mohamed…"
334,"Abu Dhabi-based MBZUAI (Mohamed bin Zayed University of Artificial Intelligence) has issued graduate degrees to 52 students from 24 countries in the key AI fields of computer vision and machine learning.

#Broadcast #Abudhabi #ZayedUniversity #University #CryptoNews #Dubai #UAE https://t.co/4DnM0m5KYz"
335,RT @SPACEdotcom: UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/tQJS7ynMBp https://t.co/8q5mArl…
336,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/T0ZxaLWHHf
337,RT @meem__9901: Mohamed bin Zayed University of Artificial Intelligence had its inaugural cohort graduation ceremony in presence of Theyab…
338,"Mohamed bin Zayed University of Artificial Intelligence had its inaugural cohort graduation ceremony in presence of Theyab bin Zayed, with 52 students from 24 countries, including 8 #UAE Nationals, getting postgraduate diplomas in #AI areas as computer #vision &amp; machine learning."
339,"RT @syedRes78322802: For The Exploration Of The Futuristic Approaches, Uae Has Employed The Advanced Technology

#business #automation #tec…"
340,"AI always has been a boon when it comes to sustaining current market competition and growth of the mobile app development industry.

https://t.co/p0QzKAuY0A

#AIMobileAppDev #AIinMobileApps #MobileAI #ai #automation  #nlp #content #ArtificialIntelligenceApps #SmartMobileApps https://t.co/vYb6RWTHxO"
342,"Omar bin Sultan Al Olama, Minister of State for Artificial Intelligence, Digital Economy, and Remote Work Applications, said that the UAE is leading a proactive future in driving digital transformation!

Read more: https://t.co/SMvkXgOdp3"
343,RT @HaithamAbdul32: Mohamed bin Zayed University of Artificial Intelligence had its inaugural cohort graduation ceremony in presence of The…
346,RT @Salma96887925: Mohamed bin Zayed University of Artificial Intelligence had its inaugural cohort graduation ceremony in presence of They…
348,"RT @IJCI4: Call for Articles..!!! 
10th International Conference on Artificial Intelligence and Applications (AIAP 2023) 
February 18 ~ 19,…"
349,"Call for Articles..!!! 
10th International Conference on Artificial Intelligence and Applications (AIAP 2023) 
February 18 ~ 19, 2023, Dubai, UAE 
https://t.co/2YxldhKHlr  
Submission System URL : https://t.co/vpoV1u7C37 
Contact Us: aiap_conf@yahoo.com 
#artificialintelligence https://t.co/UASAjY95hd"
350,"The first batch of students from Abu Dhabi graduated from the world’s first graduate research university in AI, Mohamed bin Zayed University of Artificial Intelligence (MBZUAI).

#AI #UAE #ArtificialIntelligence 
https://t.co/JjyRipXwpi"
351,"RT @khaleejtimes: #UAE: The inaugural graduation ceremony of the Mohamed bin Zayed University of Artificial Intelligence (@mbzuai ), saw 52…"
352,"Most tweeted articles today in Computer Vision:
- UAE: 52 students become first graduates of Mohamed bin Zayed University for Artificial Intelligence, #AI #ArtificialIntelligence
Read all new articles on: https://t.co/9Zxi644ZyJ ,
    https://t.co/QchZHutmHh"
353,"RT @mansukhmandviya: Met @OmarSAlolama, Minister of State for Artificial Intelligence, UAE, on the sidelines of #WEF23 Davos.

We extensive…"
354,"RT @gulf_news: UAE: 52 students become first graduates of MBZUAI 

Inaugural ceremony saw bestowing of master’s degrees in computer vision,…"
356,"#UAE: The inaugural graduation ceremony of the Mohamed bin Zayed University of Artificial Intelligence (@mbzuai ), saw 52 students from 24 countries, including 8 Emiratis, bag postgraduate degrees in computer vision and machine learning.

https://t.co/GpVsui1YIr https://t.co/zgVYeb0S3x"
357,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/FQrC0sMyXf
358,"UAE lunar rover will test 1st artificial intelligence on the moon with Canada 
#stem #stemeducation 
not @NASA 

https://t.co/9gQv2qy23q"
359,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/W202EJaV0h
360,RT @Parsec44: UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/whibYBXQ0g
361,RT @leghorn1357: UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/8Vt2PjRPjT
362,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/8Vt2PjRPjT
364,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/F54M8IdKfx.
365,RT @aleeharissi: Big day for the UAE and @mbzuai (Mohamed Bin Zayed University of Artificial Intelligence) with the inaugural commencement…
366,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/whibYBXQ0g
367,"“Artificial intelligence (AI)-powered marketplace is the new buzzword in Dubai’s red hot real estate market "" @ Arabian Business

🎯 https://t.co/ishOoGQTL0

#buywithclever
#datascience
#AI #machinelearning
#realestate #Dubairealestate
#UAE #KSA #Dubai #investment https://t.co/Yzn18mEtsW"
368,#UAE: 52 students become first graduates of Mohamed bin Zayed University for Artificial Intelligence. https://t.co/lsl2kWWFI9 #AI #education #skills
369,"Mohamed bin Zayed University in #UAE graduates its first #AI cohort
#digitaltransformation https://t.co/VfTux5Z7KK"
370,"UAE #lunar rover will test 1st artificial intelligence on the #moon with Canada, by Elizabeth Howell (@howellspace) in @SPACEdotcom https://t.co/NcbsL9nxGM #Lunapolitics #Canada #UAE"
371,"UAE: 52 students become first graduates of MBZUAI 

Inaugural ceremony saw bestowing of master’s degrees in computer vision, machine learning

https://t.co/bFg3BIjli0"
372,RT @BrettGouldDX: Artificial Intelligence is going to the moon! Here's how the UAE lunar rover will be utilizing AI on its mission this spr…
373,"RT @TheGidzPress: As it became known, the Rashid lunar rover, launched in December, developed in the UAE, will deliver an artificial intell…"
374,"As it became known, the Rashid lunar rover, launched in December, developed in the UAE, will deliver an artificial intelligence system to the moon. https://t.co/wov9H2KQhj"
375,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/eov7DVs98b https://t.co/1cuySKy0Cv
376,"UAE lunar rover will test 1st artificial intelligence on the moon with ... - https://t.co/eTRhVZ2ORu

Read more here: https://t.co/H0GWiqoofu

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT"
377,"#News: Virtual employee Rammas responds to over 6.8million enquiries in a 6-year period.

@DEWAOfficial 

Read more: https://t.co/4QKA3PrAyF

#LetsBrewIt #BrewIt #TheBrewNews #UAE #Dubai #DEWA #AI #artificial #intelligence #enquires #ai #virtualemployee"
378,UAE lunar rover will test 1st artificial intelligence on the moon with ... - https://t.co/JJ03G4fEHF https://t.co/qPV6ACbMMz #Houston #ArtificialIntelligence #AI
379,Big day for the UAE and @mbzuai (Mohamed Bin Zayed University of Artificial Intelligence) with the inaugural commencement https://t.co/PEbRO58BQw
380,RT @IntellFactory: Artificial Intelligence is going to the moon! Here's how the UAE lunar rover will be utilizing AI on its mission this sp…
382,RT @mlamons1: Artificial Intelligence is going to the moon! Here's how the UAE lunar rover will be utilizing AI on its mission this spring.…
383,"https://t.co/FcO4Zx0fxy: UAE lunar rover will test 1st artificial intelligence on the moon with Canada.
https://t.co/zHeKe2Qb4v"
384,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/0k5kcaC7eN
385,UAE's Lunar Rover Will Use Artificial Intelligence for Moon Exploration - Great Lakes Ledger https://t.co/hbemeM2bKx #ai #ml #dl
386,"Speaking at the conferences hosted on the sidelines of the Intersec 2023 exhibition, Dr Mohamed Hamad Al Kuwaiti, head of the Cyber Security Council of the UAE Government, said artificial intelligence could also expose people to cyber threats!!"
388,UAE lunar rover will test 1st artificial intelligence on the moon with Canada https://t.co/Y4eqkj2Avi
389,"Artificial Intelligence is going to the moon! Here's how the UAE lunar rover will be utilizing AI on its mission this spring.

#AI #ML #futurism #IntelligenceFactory #digitaltransformation #DX

https://t.co/MawMkyKPHZ"
390,"Artificial Intelligence is going to the moon! Here's how the UAE lunar rover will be utilizing AI on its mission this spring.

#AI #ML #futurism #IntelligenceFactory #digitaltransformation #DX

https://t.co/1p0xZ2fdcb"
391,"Artificial Intelligence is going to the moon! Here's how the UAE lunar rover will be utilizing AI on its mission this spring.

#AI #ML #futurism #IntelligenceFactory #digitaltransformation #DX

https://t.co/hIMjtBdb6i"
392,UAE's Lunar Rover Will Use Artificial Intelligence for Moon Exploration - Great Lakes Ledger
393,"UAE lunar rover will test 1st #artificialintelligence on the moon with Canada
#space #spacetech #ai https://t.co/w2sorz1enq"
